codigo_ibge,municipio,sigla_uf,municipio_fonte,in_source,flood_planning_master_plan_status,flood_planning_land_use_law_status,flood_planning_specific_law_status,landslide_planning_master_plan_status,landslide_planning_land_use_law_status,landslide_planning_specific_law_status,any_risk_prevention_planning_instrument_status,flood_risk_mapping_status,flood_contingency_plan_status,flood_early_warning_status,landslide_risk_mapping_status,landslide_contingency_plan_status,landslide_early_warning_status,municipal_civil_defense_body_status,civil_defense_budget_provision_status,civil_defense_early_warning_status,source_year,source,source_url
1100205,Porto Velho,RO,Porto Velho,true,declared_no,declared_yes,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_no,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1200013,Acrelândia,AC,Acrelândia,true,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,not_applicable,not_applicable,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1200401,Rio Branco,AC,Rio Branco,true,declared_yes,declared_yes,declared_no,declared_yes,declared_no,declared_no,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1302603,Manaus,AM,Manaus,true,declared_no,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1400100,Boa Vista,RR,Boa Vista,true,declared_yes,declared_yes,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_no,declared_yes,declared_no,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1501402,Belém,PA,Belém,true,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_no,declared_no,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1600303,Macapá,AP,Macapá,true,declared_yes,declared_yes,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_yes,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
1721000,Palmas,TO,Palmas,true,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_yes,declared_no,declared_yes,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_yes,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
2106672,Milagres do Maranhão,MA,Milagres do Maranhão,true,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,refused,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
2111300,São Luís,MA,São Luís,true,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_no,declared_yes,declared_yes,declared_no,declared_yes,declared_no,declared_no,2020,"IBGE, Pesquisa de Informacoes Basicas Municipais - MUNIC 2020",https://ftp.ibge.gov.br/Perfil_Municipios/2020/Base_de_Dados/Base_MUNIC_2020.xlsx
